epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,616.733,0.82996,1.27266,0.64089,1.04007,0.89141,0.89344,0.92685,0.68992,0.89959,0.90164,0.93035,0.6776,0.96456,1.45726,0.68044,1.18961,0.0011288,0.0011288,0.0011288
46,629.233,0.85109,1.24767,0.66031,1.06895,0.91028,0.90984,0.94786,0.7094,0.91028,0.90984,0.94786,0.68907,0.91127,1.48083,0.57331,1.12371,0.001109,0.001109,0.001109
47,642.035,0.82726,1.22902,0.63041,1.03545,0.95959,0.85246,0.93622,0.71664,0.95959,0.85246,0.93622,0.70964,0.86778,1.42431,0.57573,1.11383,0.0010892,0.0010892,0.0010892
48,658.465,0.8255,1.22998,0.63841,1.04576,0.94565,0.89344,0.93519,0.7003,0.94565,0.89344,0.93519,0.68723,0.91678,1.46149,0.60638,1.14291,0.0010694,0.0010694,0.0010694
49,671.579,0.7911,1.20551,0.5905,1.02395,0.94546,0.87705,0.9399,0.71232,0.93208,0.89989,0.94409,0.70148,0.88727,1.46609,0.56141,1.13188,0.0010496,0.0010496,0.0010496
50,688.145,0.80989,1.28776,0.65323,1.04301,0.93516,0.86885,0.93626,0.70318,0.93516,0.86885,0.93774,0.69069,0.91986,1.49803,0.6168,1.15704,0.0010298,0.0010298,0.0010298
51,701.898,0.79993,1.23185,0.60611,1.03889,0.95801,0.88525,0.94326,0.71592,0.95801,0.88525,0.94116,0.70837,0.916,1.43012,0.58105,1.14144,0.00101,0.00101,0.00101
52,718.563,0.79742,1.21339,0.62736,1.04486,0.94456,0.86066,0.91084,0.69609,0.94456,0.86066,0.91084,0.69094,0.89049,1.40179,0.65899,1.12371,0.0009902,0.0009902,0.0009902
53,732.626,0.82324,1.22588,0.60067,1.03897,0.91997,0.92623,0.9508,0.7125,0.91997,0.92623,0.9508,0.7165,0.88767,1.4059,0.56281,1.13259,0.0009704,0.0009704,0.0009704
54,745.75,0.81339,1.21334,0.61337,1.03391,0.95369,0.88525,0.9404,0.71803,0.95369,0.88525,0.9373,0.69295,0.88642,1.55032,0.56875,1.13498,0.0009506,0.0009506,0.0009506
